,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20190819,open a position,option(delta>-0.5),-0.38422212524928345,10001896.SH,2.9,0.38422212524928345,0.0265,0.21418610215187073,-0.37941411479263365,3.8659182903479796,0.17491983051515023,-0.736974086011879
20190820,close a position,option(delta<-0.25),-0.48389091694799446,10001896.SH,2.9,0.24194545847399723,0.0245,0.20073625445365906,-0.39265776098797944,4.428346397057612,0.1662369790552905,-0.7378192344385706
20190820,close a position,option(delta>-0.25),-1.5161090830520054,10001895.SH,2.85,0.7580545415260027,0.0094,0.19947555661201477,-0.19410969293819058,3.187289870058079,0.11889716093726878,-0.5295179389005148
20190820,close a position,option(delta<-0.5),0.6157778747507165,10001897.SH,2.95,0.6157778747507165,0.0511,0.20504918694496155,-0.6163144689531573,4.306456320099709,0.16513469727556787,-0.7354209354234416
20190820,close a position,option(delta>-0.5),0.38422212524928345,10001896.SH,2.9,0.38422212524928345,0.0245,0.20073625445365906,-0.39265776098797944,4.428346397057612,0.1662369790552905,-0.7378192344385706
20190820,open a position,option(delta<-0.25),0.5629901878248857,10001896.SH,2.9,0.2814950939124429,0.0245,0.20073625445365906,-0.39265776098797944,4.428346397057612,0.1662369790552905,-0.7378192344385706
20190820,open a position,option(delta>-0.25),1.4370098121751143,10001895.SH,2.85,0.7185049060875571,0.0094,0.19947555661201477,-0.19410969293819058,3.187289870058079,0.11889716093726878,-0.5295179389005148
20190820,open a position,option(delta<-0.5),-0.4799419610018276,10001897.SH,2.95,0.4799419610018276,0.0511,0.20504918694496155,-0.6163144689531573,4.306456320099709,0.16513469727556787,-0.7354209354234416
20190820,open a position,option(delta>-0.5),-0.5200580389981724,10001896.SH,2.9,0.5200580389981724,0.0245,0.20073625445365906,-0.39265776098797944,4.428346397057612,0.1662369790552905,-0.7378192344385706
20190821,close a position,option(delta<-0.25),-0.5629901878248857,10001896.SH,2.9,0.2814950939124429,0.0198,0.1788558065891266,-0.385326013837314,5.288299565816321,0.15455834486349057,-0.69781830756894
20190821,close a position,option(delta>-0.25),-1.4370098121751143,10001895.SH,2.85,0.7185049060875571,0.0067,0.18420913815498352,-0.16713787592840057,3.361429613416486,0.10118323442956613,-0.4760506258029119
20190821,close a position,option(delta<-0.5),0.4799419610018276,10001897.SH,2.95,0.4799419610018276,0.0473,0.1852850615978241,-0.6494846291263541,4.947947450579725,0.1498093260779913,-0.6848129463597538
20190821,close a position,option(delta>-0.5),0.5200580389981724,10001896.SH,2.9,0.5200580389981724,0.0198,0.1788558065891266,-0.385326013837314,5.288299565816321,0.15455834486349057,-0.69781830756894
